CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
1,44,Female,Month-to-month,120.76939057314627,5678.48694918165,No,Fiber optic,47,No,Mailed check,No,120.81887125918404,5676.161356937874
2,38,Male,Month-to-month,62.20836486770403,4265.407595821688,No,Fiber optic,69,No,Bank transfer,No,61.81750138872012,4292.3771758715775
3,46,Female,Two year,71.06114251265917,1626.6403490965129,Yes,DSL,24,Yes,Credit card,No,67.7766812123547,1705.4674203038203
4,55,Female,Month-to-month,37.39867565845818,2639.984014484474,No,DSL,71,Yes,Mailed check,No,37.18287344344329,2655.3059717505307
5,37,Female,Month-to-month,46.86191749967557,1541.0514310162766,Yes,Fiber optic,34,Yes,Electronic check,No,45.32504208871402,1593.3051949889693
6,37,Male,Two year,54.912710498859425,2767.0359471016923,Yes,DSL,50,Yes,Electronic check,No,55.340718942033845,2745.635524942971
7,55,Female,Month-to-month,38.62915087366264,1668.8380345169862,Yes,No,42,No,Credit card,No,39.7342389170711,1622.4243366938308
8,47,Female,Two year,63.73246127887385,2067.5674164870375,Yes,No,33,No,Credit card,No,62.65355807536477,2103.171222202837
9,35,Female,Month-to-month,57.789523245796865,1570.0503354250036,Yes,No,27,Yes,Mailed check,No,58.15001242314828,1560.3171276365154
10,45,Male,One year,125.52343427307201,7405.102100193002,No,DSL,59,Yes,Bank transfer,No,125.51020508801699,7405.882622111249
11,35,Male,Two year,35.02077442958617,628.5452749197153,No,DSL,19,Yes,Mailed check,Yes,33.08133025893238,665.3947141621372
12,35,Female,One year,73.08071550245762,105.3613811718429,Yes,No,3,No,Electronic check,Yes,35.1204603906143,219.24214650737287
13,42,Male,Month-to-month,77.43538845705474,5446.680910185211,No,Fiber optic,71,No,Mailed check,No,76.71381563641143,5497.912580450887
14,20,Female,Month-to-month,37.89038354044487,908.4545814614186,Yes,Fiber optic,25,No,Bank transfer,No,36.338183258456745,947.2595885111218
15,22,Male,Two year,90.60482486358515,1366.2372882677519,Yes,DSL,15,No,Credit card,No,91.08248588451679,1359.0723729537772
16,34,Male,Month-to-month,58.050189613551154,3495.1708889469437,Yes,DSL,60,Yes,Bank transfer,Yes,58.25284814911573,3483.011376813069
17,29,Female,Month-to-month,20.0,522.0769274910909,Yes,Fiber optic,23,Yes,Bank transfer,No,22.698996847438735,460.0
18,43,Female,One year,89.79548836313695,936.081376492362,No,No,11,No,Electronic check,No,85.0983069538511,987.7503719945065
19,30,Female,Month-to-month,36.49177347692908,2112.0225142161753,Yes,Fiber optic,59,No,Electronic check,No,35.796991766375854,2153.0146351388157
20,25,Male,Month-to-month,38.56675161582703,1279.0291663259286,No,Fiber optic,34,Yes,Bank transfer,No,37.618504891939075,1311.269554938119
21,54,Female,Month-to-month,90.63706248677195,624.9352058193604,No,DSL,7,Yes,Credit card,No,89.27645797419434,634.4594374074037
22,37,Male,Month-to-month,59.5851555274465,2632.7250050660004,No,Fiber optic,44,Yes,Credit card,No,59.834659206045465,2621.746843207646
23,40,Male,Month-to-month,97.53316451654501,6263.631166057813,No,DSL,64,No,Credit card,Yes,97.86923696965333,6242.122529058881
24,25,Female,One year,106.30498286095957,2350.8980770546054,Yes,DSL,23,Yes,Electronic check,No,102.21295987193936,2445.01460580207
25,34,Male,Month-to-month,50.65214619033107,2997.5743935010773,No,DSL,58,No,Credit card,No,51.68231712932892,2937.824479039202
26,41,Female,Two year,93.79787487865092,1899.4349751944083,Yes,Fiber optic,20,Yes,Mailed check,No,94.97174875972041,1875.9574975730184
27,28,Male,Two year,47.336175958213545,1322.2124039298076,No,DSL,27,No,Electronic check,No,48.97082977517806,1278.0767508717656
28,43,Female,One year,136.9934775139653,8100.1639971906025,Yes,No,60,Yes,Mailed check,Yes,135.00273328651005,8219.608650837918
29,33,Male,Month-to-month,49.211289864063545,435.2852063426807,Yes,No,8,Yes,Bank transfer,No,54.410650792835085,393.69031891250836
30,37,Male,One year,100.78262322880012,6702.682512440918,No,DSL,67,Yes,Mailed check,No,100.04003749911817,6752.435756329608
31,33,Female,Month-to-month,95.31370077644726,168.09121539658054,No,Fiber optic,2,Yes,Electronic check,No,84.04560769829027,190.62740155289453
32,58,Male,Month-to-month,79.48263466326802,1820.3182540635119,No,Fiber optic,22,Yes,Bank transfer,Yes,82.74173882106872,1748.6179625918962
33,39,Female,One year,49.883705157499506,3524.7391237063066,Yes,No,70,Yes,Credit card,Yes,50.35341605294724,3491.8593610249654
34,29,Male,Month-to-month,65.45807524175773,2322.6562931160856,No,No,36,No,Mailed check,No,64.51823036433571,2356.490708703278
35,48,Male,Two year,20.0,519.8095530756781,No,DSL,24,Yes,Bank transfer,No,21.658731378153252,480.0
36,27,Male,Month-to-month,76.7326011514675,938.8314701212139,No,DSL,12,No,Credit card,No,78.2359558434345,920.79121381761
37,42,Female,One year,80.48845993085156,1750.3781486885205,Yes,DSL,22,Yes,Bank transfer,No,79.56264312220547,1770.7461184787344
38,20,Female,Month-to-month,74.00498257184114,1725.9040037168274,No,Fiber optic,23,Yes,Credit card,Yes,75.03930450942728,1702.1145991523463
39,26,Female,Two year,20.0,1241.0913352720795,No,Fiber optic,63,Yes,Bank transfer,No,19.699862464636183,1260.0
40,41,Female,Month-to-month,32.03090664730567,980.27320350731,Yes,Fiber optic,30,Yes,Electronic check,Yes,32.67577345024367,960.9271994191702
41,47,Female,Month-to-month,47.55727051454012,922.2968540053752,No,DSL,19,No,Electronic check,No,48.54193968449343,903.5881397762623
42,41,Male,Month-to-month,78.74976799567139,2072.665649185994,Yes,No,26,Yes,Electronic check,No,79.7179095840767,2047.4939678874562
43,38,Male,Month-to-month,78.68016716928953,961.6986482231545,Yes,DSL,11,Yes,Bank transfer,No,87.4271498384686,865.4818388621849
44,36,Female,Month-to-month,64.89328624086463,1345.1286306133186,Yes,Fiber optic,20,Yes,Credit card,Yes,67.25643153066594,1297.8657248172926
45,25,Male,Month-to-month,89.0573660981187,5037.211501469192,Yes,Fiber optic,56,No,Credit card,No,89.95020538337842,4987.212501494648
46,32,Male,Month-to-month,39.212728740913,1738.227614582807,Yes,DSL,45,No,Mailed check,Yes,38.627280324062376,1764.5727933410851
47,35,Male,Month-to-month,88.30705017081989,5929.010118183629,Yes,Fiber optic,68,Yes,Credit card,Yes,87.19132526740631,6004.879411615752
48,50,Male,Month-to-month,84.24226314519673,3950.0018111983723,Yes,Fiber optic,47,Yes,Mailed check,No,84.04259172762494,3959.3863678242465
